path	domain	latest_status_from_base	legacy_status_from_base	provenance_origin	license_state	reuse_policy
.github/scripts/assert-auth-entry-flow.py	identity-auth	A		fabushi-repository-history	FIRST_PARTY_HISTORY_REVIEWED	retain current main or migrate behavior atomically; no wholesale branch overwrite
.github/scripts/assert-bot-mark-motion.py	ci-cd-validation	A		fabushi-repository-history	FIRST_PARTY_HISTORY_REVIEWED	retain current main or migrate behavior atomically; no wholesale branch overwrite
.github/scripts/assert-electron-feature-host-bridge.sh	ci-cd-validation	M	M	fabushi-repository-history	FIRST_PARTY_HISTORY_REVIEWED	retain current main or migrate behavior atomically; no wholesale branch overwrite
.github/scripts/assert-fabushi-desktop-architecture.py	ci-cd-validation	A		fabushi-repository-history	FIRST_PARTY_HISTORY_REVIEWED	retain current main or migrate behavior atomically; no wholesale branch overwrite
.github/scripts/assert-feature-command-router-coverage.py	ci-cd-validation	A	A	fabushi-repository-history	FIRST_PARTY_HISTORY_REVIEWED	retain current main or migrate behavior atomically; no wholesale branch overwrite
.github/scripts/assert-grok-bot-electron-migration.py	ci-cd-validation		A	fabushi-repository-history	FIRST_PARTY_HISTORY_REVIEWED	retain current main or migrate behavior atomically; no wholesale branch overwrite
.github/scripts/assert-native-capability-semantics.py	ci-cd-validation	A		fabushi-repository-history	FIRST_PARTY_HISTORY_REVIEWED	retain current main or migrate behavior atomically; no wholesale branch overwrite
.github/scripts/assert-native-desktop-edge-parity.py	ci-cd-validation	A		fabushi-repository-history	FIRST_PARTY_HISTORY_REVIEWED	retain current main or migrate behavior atomically; no wholesale branch overwrite
.github/scripts/assert-native-electron-canonical.sh	ci-cd-validation	M	M	fabushi-repository-history	FIRST_PARTY_HISTORY_REVIEWED	retain current main or migrate behavior atomically; no wholesale branch overwrite
.github/scripts/assert-product-ui-contracts.py	ci-cd-validation	A		fabushi-repository-history	FIRST_PARTY_HISTORY_REVIEWED	retain current main or migrate behavior atomically; no wholesale branch overwrite
.github/scripts/build-offline-asr-engine.mjs	offline-asr	A		fabushi-repository-history	FIRST_PARTY_HISTORY_REVIEWED	retain current main or migrate behavior atomically; no wholesale branch overwrite
.github/scripts/check-publish-cd-release.sh	ci-cd-validation	M	M	fabushi-repository-history	FIRST_PARTY_HISTORY_REVIEWED	retain current main or migrate behavior atomically; no wholesale branch overwrite
.github/scripts/deploy-auth-provider-bridge.sh	identity-auth	A		fabushi-repository-history	FIRST_PARTY_HISTORY_REVIEWED	retain current main or migrate behavior atomically; no wholesale branch overwrite
.github/scripts/prepare-development-wrangler.py	ci-cd-validation	M		fabushi-repository-history	FIRST_PARTY_HISTORY_REVIEWED	retain current main or migrate behavior atomically; no wholesale branch overwrite
.github/workflows/auth-config-diagnostic.yml	identity-auth	A		fabushi-repository-history	FIRST_PARTY_HISTORY_REVIEWED	retain current main or migrate behavior atomically; no wholesale branch overwrite
.github/workflows/ci.yml	ci-cd-validation	M	M	fabushi-repository-history	FIRST_PARTY_HISTORY_REVIEWED	retain current main or migrate behavior atomically; no wholesale branch overwrite
.github/workflows/deploy-miniapps-cloudflare.yml	ci-cd-validation	M	M	fabushi-repository-history	FIRST_PARTY_HISTORY_REVIEWED	retain current main or migrate behavior atomically; no wholesale branch overwrite
.github/workflows/deploy-official-site-cloudflare.yml	ci-cd-validation	M	M	fabushi-repository-history	FIRST_PARTY_HISTORY_REVIEWED	retain current main or migrate behavior atomically; no wholesale branch overwrite
.github/workflows/deploy-production.yml	ci-cd-validation	M		fabushi-repository-history	FIRST_PARTY_HISTORY_REVIEWED	retain current main or migrate behavior atomically; no wholesale branch overwrite
.github/workflows/electron-desktop.yml	ci-cd-validation	A	A	fabushi-repository-history	FIRST_PARTY_HISTORY_REVIEWED	retain current main or migrate behavior atomically; no wholesale branch overwrite
.github/workflows/host-fast-e2e.yml	ci-cd-validation	M	M	fabushi-repository-history	FIRST_PARTY_HISTORY_REVIEWED	retain current main or migrate behavior atomically; no wholesale branch overwrite
